id;group;label;Wikidata;DBpedia;CSO;embeddingID;embedding
cs.AI;cs;Artificial Intelligence;http://www.wikidata.org/entity/Q11660;http://dbpedia.org/resource/Artificial_Intelligence;https://cso.kmi.open.ac.uk/topics/artificial_intelligence;0.0;"[-0.22924659 -0.11373848 -0.14934558  0.08090859  0.48647574 -0.50554836
  0.36449403 -0.74101895  0.00179868  0.32445621 -0.3367642   0.11219462
 -0.16579252 -0.05776438 -0.46282825 -0.23773926  0.21999702 -0.05655952
 -0.14925024  0.17758812 -0.5502657  -0.7798082  -0.34078166 -0.07666177
  0.7873371   0.0318726  -0.1272532   0.30146316  0.25925648 -0.3000289
  0.49446797  0.22731593  0.10293797 -0.3320876   0.17680092  0.9091108
 -0.22808507 -0.02070816  0.54141444  0.21038423  0.09271783 -0.49427783
  1.3375144  -0.3630164  -0.20292404  0.30380353  0.10099133 -0.2747476
  0.7345991   0.21323763 -0.12117086 -0.01509134 -0.34908435  0.3586433
  0.15231071  0.09395774  1.0180207   0.2870033   0.19230005  0.24068855
 -0.06511412  0.02946224 -0.339145    0.33033106 -0.15171267  0.47505298
  0.10244487  0.01708958  0.16748002  0.30631974 -0.01250478  0.02736043
  0.34641245  0.18761894 -0.46655917  0.16892779 -0.06817612  0.29640803
 -0.1003908  -0.52283806  0.21841839 -0.39596015  0.19842972  0.23566298
 -0.23360866 -0.13897598  0.44964314  0.23272632  0.40647542  0.33349767
  0.37622634  0.47884315 -0.420633    0.09022963 -0.34524053  0.4457303
 -0.45795417  0.42184368  0.0672464  -0.14340588  0.0596541  -0.52305955
 -0.24539311  0.34323838 -0.22914974  0.65694124  0.45463365 -0.3579704
 -0.373619   -0.91080683  0.4211494   0.3311873  -0.45215982  0.5105596
 -0.18398383 -0.16800705  0.35596377  0.15163995  0.61986077 -0.31317362
  0.25893313 -0.20124544 -0.36220488  0.5228257   0.04067473  0.18227969
 -0.77789897 -0.24816088  0.5244413  -0.57863367  0.65251577 -0.52073437
 -0.31397986  0.08634542  0.01565707 -0.10336559 -0.19904488 -0.16298869
 -0.44590366  0.3690865   0.18752669  0.14883834 -0.48707548  0.2224602
  0.622071   -0.17503448 -0.38837123 -0.01717827 -0.43816197  0.28724143
  0.49621248  0.5626518  -0.156875   -0.55203915  0.10261645  0.21888396
 -0.01085035 -0.6351494  -0.42770684  0.1547625   0.55336094  0.3226
 -0.29518107  0.00843813  0.04797836  0.2482934  -0.3741994  -0.05367687
  0.48100775 -0.3169798   0.05179793 -0.17369089 -0.26631248 -0.23000109
 -0.41534364 -0.15011957  0.02782092  0.08883265 -0.2725289   0.15864897
 -0.167942    0.3004769  -0.37318182  0.2972202   0.15315379 -0.23924395
 -0.65844077  0.1670683   0.6191328  -0.18072212 -0.50544935  0.04631517
 -0.17779925  0.12441806 -0.31098574 -0.10279669 -0.09896469 -0.57835656
 -0.07553142  0.05885681]"
cs.AR;cs;Hardware Architecture;http://www.wikidata.org/wiki/Q5656403;http://dbpedia.org/resource/Hardware_architecture;https://cso.kmi.open.ac.uk/topics/hardware_architecture;1.0;"[-0.12516294 -0.09210468 -0.19862115  0.44878322 -0.44590193 -0.30082867
 -0.2486233   0.12932456 -0.18426922  0.00908364  0.24794662 -0.35409692
  0.19974452 -0.02573808 -0.27060863 -0.30177334  0.16360882 -0.2218829
 -0.4850162   0.3804247  -0.0126965  -0.10276655  0.37615842 -0.25937927
  0.476842   -0.14267923  0.16806091 -0.0577514   0.21946749 -0.15159544
  0.28297237  0.3426213  -0.4040246   0.77616066  0.4280305   0.6797561
  0.15906654  0.22363263  0.16721156 -0.03985109  0.16100048 -0.455152
 -0.16602156 -0.1877203  -0.02803025 -0.00954153 -0.08552288  0.26232263
  0.09791027  0.15869425  0.03032918 -0.2056489   0.1539484  -0.0962521
  0.22930293  0.34184778  0.28541127  0.371896    0.312159   -0.2021578
 -0.37832692  0.18915085 -0.46218792  0.8026491  -0.15631647 -0.16071771
 -0.02365935 -0.191259    0.02717075 -0.19587721  0.07587805  0.09987647
 -0.07215921  0.0572833  -0.43146145  0.19075431 -0.12171548  0.07687654
 -0.1160611  -0.5001454   0.10412733  0.20550121  0.6195663   0.16684352
 -0.5282362  -0.27818224 -0.22028108  0.09307287  0.28672266 -0.03794606
 -0.68354255  0.0542943   0.50113446 -0.0282844  -0.03863134  0.2657817
 -0.15457937  0.24177134 -0.10473963 -0.42356983 -0.32876536 -0.03734192
  0.2936821   0.644156   -0.41829145  0.17388326  0.34601846  0.08739261
 -0.38131973  0.16237342  0.3939736   0.12603183  0.10411002 -0.02273346
 -0.42490682 -0.15475455 -0.41350546  0.3294478   0.03349137  0.01492449
 -0.39957112  0.2095416  -0.19930434  0.15758114 -0.39969274 -0.23472252
 -0.1331076  -0.00497231  0.46408123  0.20342666 -0.10001461 -0.26690233
  0.01107522  0.21082325  0.06212021 -0.12667833 -0.21987447  0.07846928
  0.38633862  0.5294828   0.21179788  0.40369025 -0.00086451  0.07830515
  0.66685236 -0.20996878 -0.58289444  0.17913269 -0.35559416  0.28676775
  0.50571895  0.5800153   0.13800977 -0.21242654  0.09076383  0.21082827
  0.31022382 -0.03495917  0.0009762  -0.19730288  0.14986248  0.39004877
 -0.05745731  0.03611466 -0.09035151  0.29227075 -0.27392277  0.19977964
  0.30245072 -0.44688386 -0.01217544 -0.04025484 -0.22286087  0.4905872
  0.09630262 -0.16835299 -0.14911792 -0.11677639 -0.07695869 -0.27119797
 -0.10603684 -0.66452765 -0.23819245 -0.0788422   0.07441732 -0.10891161
  0.11115936 -0.304956    0.24304712 -0.46516827 -0.2686826  -0.44973874
  0.51632154  0.5130507  -0.49890274  0.2861195   0.15442121 -0.46310836
 -0.32345307  0.5670518 ]"
cs.CC;cs;Computational Complexity;http://www.wikidata.org/entity/Q5157286;http://dbpedia.org/resource/Computational_complexity_theory;;2.0;"[-3.16065520e-01 -2.37465009e-01 -1.00504033e-01 -9.38605284e-04
  3.86065245e-01 -2.86239833e-01  3.70077997e-01 -4.87106860e-01
  7.30935752e-01  1.92018807e-01 -5.13283312e-01  2.59608671e-04
  1.23651421e+00  4.96541500e-01 -3.05911034e-01 -5.76571040e-02
  8.35412860e-01 -8.72409344e-02 -5.43686628e-01 -1.35584623e-01
 -9.78418291e-01  8.55521187e-02  6.54297113e-01 -7.61118531e-01
  1.71887055e-01  4.12193313e-02 -2.39287287e-01 -3.56064290e-01
  1.00460863e+00 -7.71397591e-01  1.04553151e+00  3.19232792e-01
  5.13241649e-01  7.67282248e-01 -4.41658914e-01  8.16202819e-01
  2.17525199e-01 -4.04486716e-01  2.81219035e-01  5.33243954e-01
  5.02430022e-01  3.53819400e-01  9.53118920e-01 -3.68238658e-01
 -5.79286158e-01 -1.30013198e-01  6.64182976e-02 -5.39450049e-01
 -1.20534144e-01 -2.72688836e-01 -3.34081590e-01  3.62401932e-01
 -1.13549136e-01 -2.24719778e-01  3.31206709e-01  2.05843180e-01
  7.13361204e-01  5.04026592e-01  2.09234223e-01  1.68541536e-01
  3.00656021e-01 -6.67880893e-01 -7.48410821e-01  7.47097909e-01
 -1.13231204e-01 -4.32613194e-01 -5.56289077e-01 -2.67981529e-01
 -2.18567148e-01 -2.45313391e-01 -9.67874110e-01 -4.47968781e-01
  2.48381943e-01 -1.64300233e-01  6.14102364e-01  4.28730249e-01
 -1.69716984e-01  1.06044030e+00 -4.13979977e-01 -7.28621721e-01
 -1.90055426e-02 -5.00218809e-01  5.39077699e-01  7.24558830e-01
 -8.63838494e-02  6.58003688e-01  3.72203082e-01  6.07337654e-02
  4.58703727e-01  2.50507474e-01 -3.97017181e-01  8.96536708e-01
  7.40720518e-03 -4.22473431e-01 -7.51468420e-01 -4.28711325e-01
 -8.04533064e-01  5.57059526e-01  3.36392999e-01 -9.21794891e-01
  1.78246900e-01  1.84643656e-01  3.42556648e-02  3.54797333e-01
 -4.80425537e-01  1.24948479e-01  5.94827570e-02  2.22108707e-01
 -9.00738358e-01 -7.75992051e-02 -3.11657727e-01  9.67684090e-02
 -5.68679580e-03  5.02514124e-01  1.49633884e-02 -4.49917108e-01
  6.64739609e-02  2.63006896e-01  6.63261354e-01 -5.23451149e-01
 -1.99347824e-01  3.23247373e-01 -1.39606193e-01  5.23116708e-01
  3.52467895e-01 -7.31416920e-04 -1.27642584e+00  7.26517022e-01
  3.59843701e-01 -3.01529050e-01  6.96154535e-01 -9.91632819e-01
 -5.71439385e-01  8.63653660e-01  2.22441584e-01 -4.01456594e-01
  2.98730403e-01 -4.42298084e-01 -7.84026831e-03  1.64652988e-01
  2.37502664e-01  6.32516563e-01  5.75132817e-02 -4.66645151e-01
  8.51754844e-01 -1.16710865e+00 -3.44557315e-01  2.79795378e-01
  2.34483451e-01 -4.82725978e-01  6.37628853e-01  8.32334220e-01
 -3.77523974e-02 -8.12725186e-01  4.67171371e-01  4.36668873e-01
 -1.71146810e-01 -9.06683624e-01 -5.86605608e-01 -1.09408282e-01
  4.85709041e-01  6.61620915e-01 -1.40682757e+00 -6.17334783e-01
 -3.69383097e-01  1.26585916e-01 -2.68602312e-01 -6.45423710e-01
 -1.66922405e-01 -7.88997352e-01  2.28830829e-01  1.11169890e-01
 -7.18384013e-02 -3.66343230e-01 -2.05124259e-01  2.59316802e-01
 -3.69703859e-01  1.06472030e-01 -2.51688212e-01  5.17181873e-01
 -8.09907615e-01 -3.10787141e-01 -4.47524816e-01 -3.82533401e-01
 -2.27846518e-01 -5.02686083e-01 -7.31511593e-01 -2.59229422e-01
 -1.00967363e-01  3.40513706e-01 -5.76197863e-01 -3.40554088e-01
  1.44925654e-01 -2.17013389e-01  8.84167850e-01 -2.70258589e-03
  1.54499531e-01 -2.75382131e-01 -1.31094247e-01  1.92347959e-01]"
cs.CE;cs;Computational Engineering, Finance, and Science;;;;;
cs.CG;cs;Computational Geometry;http://www.wikidata.org/entity/Q874709;http://dbpedia.org/resource/Computational_geometry;;3.0;"[-0.3632318  -0.20642246 -0.27919853  0.27626705  0.21072629 -0.4478915
  0.9453984   0.11938509  0.3206302   0.2334589   0.16365251  0.16924599
  0.17945664 -0.0627792  -0.17440902 -0.10497356 -0.10678107 -0.6824257
 -0.58874625  0.48638573 -0.24652669  0.07546832 -0.2927136  -0.8623412
  0.3521416  -0.8287941  -0.29346538 -0.0759006   0.0882553  -0.0510881
 -0.01679359 -0.0121988   0.07926518  0.44177112 -0.5676723  -0.03578537
  0.56990016  0.6706153   0.784576    0.21119036 -0.3253884   0.695554
  0.25718936 -0.51398456 -0.01647566  0.2831059   0.05266983 -0.24872644
  0.5708813  -0.4130996   0.0624247   0.5234737  -0.10573457  0.5255342
 -0.30056283  0.59761304 -0.56813836 -0.44240698  0.41139966 -0.21051909
  0.14309525  0.7309372   0.2707801   0.3145232   0.16838205 -0.26669002
 -0.28344825  0.27849498 -0.17894351  0.3430424  -0.14255273 -0.01398802
 -0.0797311   0.13391204  0.86172605  0.25577018 -0.14109702  0.27340552
 -0.29928055 -0.41701788  1.1724974   0.3296828   0.5459528   0.19513673
 -0.08415854 -0.59194237 -0.31842223  0.40364796  0.96706283 -0.1741457
 -0.70675534 -0.11413049  0.4460736   0.6761484  -0.25239223 -0.1698829
 -0.7593163  -0.6236791   0.22336471 -0.300614   -0.23208535 -0.04534612
  0.5673326   1.3283875   0.8320166   0.17070983  0.1709732   0.02519473
 -0.4559312  -0.23777077 -0.6600549  -0.6549816  -0.01017041  0.05179229
  0.45510936  0.80695206 -0.24638063 -0.6538866   0.06956875 -0.79934484
  0.47589776  0.14770529 -0.989201    0.12870245  0.00908467 -0.3534316
 -0.25151134  0.12645848  0.39573947  1.1601442   0.29697147  0.408921
  0.16366526  0.8968653  -0.0931746  -0.65014935  0.46128044 -0.20661418
  0.28672978 -1.2568822   0.5498867   1.0880338  -0.48097137  0.00895612
  0.81025386 -0.17737378 -0.10880835 -0.02995215  0.35520247 -0.32198185
 -0.13897409  0.56479913  0.12037233 -0.11345587 -0.30838552  0.4877547
  0.9628036  -0.12897246 -0.09459194  0.5181953   0.1479925   0.6696865
 -0.4609466  -0.36666244 -0.08656814 -0.10572249  0.3185826  -0.51327205
  0.15462142 -0.99542916 -0.02990665 -0.57027614  0.5154384  -0.20327452
 -0.48883474 -0.08850107 -0.513219   -0.10921928 -0.11897641  0.24604373
 -1.311146   -0.07051037  0.43322438  0.69581854 -0.03889485 -0.3461139
 -0.4424822  -0.17404136  0.60447603 -0.374287   -0.36576104 -0.5960604
 -0.11878295 -0.57317805 -0.4015324   0.23717575 -0.00298116 -0.11446809
 -0.07177003  1.424624  ]"
cs.CL;cs;Computation and Language;http://www.wikidata.org/wiki/Q30642;http://dbpedia.org/resource/Natural_language_processing;https://cso.kmi.open.ac.uk/topics/natural_language_processing;4.0;"[-5.31879783e-01 -3.97135943e-01  4.60532270e-02  8.84510219e-01
  9.59897995e-01  3.52677345e-01  5.09510756e-01  6.90218657e-02
 -4.08829629e-01  2.67785490e-01 -4.51456070e-01  2.90447980e-01
  3.27613473e-01  1.13259323e-01  1.19277462e-01 -6.16320729e-01
  4.21180159e-01 -4.12011594e-01 -1.28768122e+00 -3.74494165e-01
 -6.40565038e-01 -6.81309104e-01  3.91748875e-01  1.84177831e-01
  6.15157843e-01  3.11976463e-01 -2.06491008e-01 -9.31282878e-01
  1.03522694e+00  2.89405704e-01  2.76385218e-01 -1.32501379e-01
  6.63976967e-01  3.13627422e-01 -6.18406117e-01  3.90715748e-01
  8.42989907e-02 -3.12081009e-01  3.76983434e-01  5.86938500e-01
  5.44647396e-01  1.24745267e-02  1.61873960e+00 -4.76498276e-01
 -6.13341451e-01  5.99881053e-01  1.09700784e-02  4.00606915e-02
  5.50388098e-01  2.08645552e-01 -5.12083709e-01  2.90416349e-02
 -7.22190440e-01  1.50446653e-01  2.87839144e-01  1.11975454e-01
  3.28198761e-01 -3.93568635e-01  1.13046966e-01  2.63735414e-01
  6.21659100e-01  1.29862964e-01 -1.84574872e-01  2.86613464e-01
 -3.66203129e-01 -5.48711658e-01  6.59999251e-02  7.35385597e-01
  2.51185477e-01  5.61070621e-01 -5.03592253e-01  9.07340273e-02
  2.54142582e-01 -8.46424639e-01 -1.38150990e-01  1.69691429e-01
  5.87507896e-03  1.22221851e+00 -1.29142046e-01 -1.10255992e+00
 -1.70717999e-01 -5.37650824e-01  7.89476216e-01  2.71647066e-01
 -2.58933306e-01  8.77551287e-02  6.10596955e-01  1.37443364e+00
  5.63477218e-01  3.54036152e-01 -6.40241802e-01  8.75682652e-01
 -8.45722407e-02 -2.81660199e-01 -5.83635986e-01 -3.17973316e-01
 -2.93588847e-01  5.83427139e-02 -6.07214868e-01 -1.04561698e+00
 -6.51306570e-01 -1.81393236e-01 -3.33086818e-01  2.17048123e-01
 -2.97803670e-01  2.44519845e-01  4.29694027e-01 -1.45703584e-01
 -7.84037411e-01 -1.67008087e-01 -2.10941643e-01 -2.21166477e-01
  1.55528232e-01 -1.46073312e-01 -2.91173160e-02 -7.89776683e-01
  1.68172732e-01 -7.42146894e-02 -8.16027150e-02  5.83638921e-02
  7.31163621e-02  5.71183681e-01 -5.32271981e-01  2.58733392e-01
  7.62575865e-01 -4.18688923e-01 -1.09433866e+00 -2.26836801e-01
 -4.57064509e-01 -4.23664659e-01  1.01729155e+00 -6.94519460e-01
 -6.45128727e-01  1.17867744e+00 -2.62541085e-01 -9.71673071e-01
  1.03567469e+00 -2.06903107e-02  1.29878591e-03 -3.46393794e-01
  3.33636791e-01 -1.38398871e-01 -5.04858196e-01 -4.75261718e-01
  5.74624002e-01 -9.64122653e-01 -3.39513868e-01  4.40016598e-01
 -7.04443634e-01  2.29441985e-01  7.45259106e-01  3.82993847e-01
  1.58013180e-01 -1.02135873e+00 -3.30990046e-01 -3.12596887e-01
 -9.09926414e-01 -9.76531863e-01 -2.64734447e-01  7.85382688e-01
  5.15288293e-01  1.14444315e+00 -1.38274455e+00 -5.66455007e-01
  2.36625582e-01 -1.00477435e-01  1.01578698e-01 -1.23673141e-01
  4.82541770e-01 -1.15074527e+00  2.92982042e-01 -3.09985042e-01
  1.28738686e-01  1.19101606e-01 -4.80977148e-01  1.64542302e-01
  6.87299192e-01  3.48528534e-01 -2.34781951e-01  5.62928021e-02
 -1.42360151e-01  8.98063704e-02  2.28399262e-01  2.98987757e-02
  5.52187741e-01  1.67836770e-01 -7.37860322e-01 -1.00807428e+00
  3.87290627e-01 -1.00225568e-01 -5.49709916e-01 -2.98894882e-01
  4.74652380e-01  1.22273016e+00 -1.52700797e-01 -5.95532775e-01
 -7.30370507e-02 -5.53853571e-01 -1.30965058e-02  1.79964289e-01]"
cs.CR;cs;Cryptography and Security;https://www.wikidata.org/wiki/Q365674;http://dbpedia.org/resource/Security_engineering;https://cso.kmi.open.ac.uk/topics/security_engineering;5.0;"[-0.5010944  -0.00764281 -0.67697597  0.02553539  0.17631172 -0.35423392
  0.03965341 -0.25441885 -0.07661109  0.3548468   0.19589974 -0.34301576
  0.24547327  0.09359933 -0.19579378  0.5864486   0.26430002 -0.4083643
 -0.09747349  0.15420146  0.00297818 -0.47464108 -0.41063625 -0.5296702
  0.84472185  0.23184194 -0.3610163   0.17766091  0.2865856  -0.02848421
  0.12723717  0.46788052 -0.13675505  0.53797597 -0.25410333  0.18869595
 -0.3062656   0.07164331  0.25511152  0.03753049  0.217159   -0.23989958
 -0.1712436  -0.3462049   0.2928707   0.22428176 -0.08829969 -0.2458363
  0.24358158  0.09133042  0.16662279  0.31030467  0.08257557  0.22457258
  0.04600128  0.39340106 -0.13163008 -0.17716256  0.18073586  0.43354422
 -0.28165564 -0.06194535  0.13041985 -0.07841823  0.10779557 -0.00988681
 -0.5813652   0.00210673 -0.26374388  0.14928465  0.8193448   0.5984239
  0.00819205 -0.08341588 -0.70194334 -0.29985312 -0.23050103  1.0795667
 -0.19781063 -0.24099596 -0.51029605  0.16815713  0.27540806  0.1742169
 -0.09636424 -0.7757938  -0.6978286   0.31315008 -0.23901424 -0.1712134
 -1.4071696   0.21589747  0.34650353 -0.02590699 -0.4130446   0.11532257
 -0.35292196 -0.39587307 -0.2798307  -0.35968632 -0.3396358   0.08190997
  0.48271734  1.1871701   0.41343457  0.46099725  0.4065237   0.79813164
 -0.9297074   0.13951737 -0.4631621  -0.06099042  0.07730497 -0.3973066
 -0.14041077  0.11577667 -0.19425467 -0.1757251  -0.08790562 -0.82544535
  0.74862385  0.11720489 -0.3882557   0.3801284  -0.21926342 -0.12612359
 -0.76390254  0.2552471   0.44305447 -0.01139942 -0.19155587  0.15594448
 -0.10723687  0.4545293  -0.49262863 -0.48709583  0.58864045 -0.03393856
  0.03350894 -0.16157712  0.7005964   0.93992364 -1.1744056  -0.3470947
  0.02511104 -0.03580849 -0.09932017 -0.29455003 -0.02884052  0.09369349
 -0.38509235  0.09915018 -0.65309125 -0.45675272 -0.4191095   0.7723197
 -0.02383384  0.47083327  0.09410059  0.24698023  0.35238633  0.2678704
 -0.618395   -0.10884589  0.37253848  0.05583788  0.17570972  0.03241626
  0.2608083  -0.44309464  0.3792707  -0.16044466  0.4127873  -0.3227446
  0.55460006 -0.11468616  0.33063298  0.889837   -0.08263627  0.5519048
 -0.36405665  0.43745434  0.09482251 -0.35572606  0.1609613  -0.24468406
 -0.55887175 -0.42516062  0.40690288 -0.4224811  -0.14037357 -0.0237545
 -0.4587336   0.07695042 -0.43970487 -0.06099459  0.1989603   0.26452696
 -0.08794085  0.6335498 ]"
cs.CV;cs;Computer Vision and Pattern Recognition;http://www.wikidata.org/entity/Q844240;http://dbpedia.org/resource/Computer_vision;https://cso.kmi.open.ac.uk/topics/computer_vision;6.0;"[-6.36315465e-01  4.84498024e-01 -2.50563115e-01  3.63931388e-01
  5.41656792e-01 -4.60658520e-01  5.05243301e-01 -2.82195747e-01
  4.21525389e-01  1.53933644e-01 -1.04236104e-01 -4.30143736e-02
  7.84162700e-01  3.83201182e-01 -6.92760766e-01 -8.43791783e-01
  7.01597631e-02 -1.19120157e+00 -3.72179806e-01 -1.67837366e-02
 -1.28780276e-01  2.62946963e-01 -1.92866892e-01 -4.57883775e-01
  1.04639196e+00 -1.00757039e+00 -2.89500892e-01 -1.12618923e-01
  1.49001253e+00 -1.71347857e-01  1.75169006e-01  3.06640804e-01
  1.89245284e-01  7.01205432e-01  1.10936284e-01  1.12442482e+00
  1.64380923e-01  1.87827796e-01  1.13996661e+00  5.57485104e-01
 -4.65751857e-01 -1.72731802e-01  5.90157807e-01  1.31485641e-01
 -2.51371503e-01  3.83716613e-01 -4.88142483e-02  1.11534767e-01
  1.51078439e+00  1.67641550e-01  4.97098804e-01  3.28023136e-01
 -4.77140963e-01 -3.62093091e-01  1.00645208e+00  2.32075334e-01
  5.65456688e-01 -1.26587778e-01  1.21392332e-01  4.90500569e-01
 -6.86089516e-01  4.54950929e-01 -1.45496413e-01  6.38562560e-01
 -8.41201376e-03  2.57665902e-01 -4.05779094e-01  2.09618375e-01
  3.11517328e-01  2.09709376e-01  1.46669999e-01  2.52694520e-03
  6.78144455e-01 -3.01548004e-01 -5.36379218e-01  1.03896677e-01
 -6.54509604e-01  7.03712821e-01 -3.29729505e-02 -2.25794375e-01
 -8.95833895e-02 -5.66858828e-01 -1.06423378e-01  1.53054869e+00
  3.07178229e-01  7.78323174e-01 -3.30515921e-01  3.70884508e-01
 -1.45760030e-01 -4.90169711e-02 -6.48408592e-01  9.24955383e-02
 -2.37565115e-01 -2.00088337e-01 -5.86496294e-01  1.71033144e-01
 -1.91561490e-01 -6.59670867e-03 -2.06563279e-01 -1.03354782e-01
 -4.40476418e-01  5.35852969e-01  2.19708562e-01  4.62039798e-01
 -3.15794259e-01  3.48265171e-01  4.15866733e-01  7.18676805e-01
 -9.85957742e-01 -1.00604975e+00  2.55492061e-01 -4.22503918e-01
  1.10395588e-01  4.79476869e-01 -3.10732350e-02  5.80641210e-01
  3.16298008e-01 -4.96677011e-02 -2.13811144e-01 -1.02258551e+00
  1.21027954e-01  4.97710884e-01 -1.09156728e-01 -2.16090798e-01
  1.16725171e+00  3.47738326e-01 -1.33196652e+00 -1.50523912e-02
  4.45412397e-01 -1.01518445e-01  4.36022818e-01 -3.26867640e-01
 -6.17985606e-01  1.76656449e+00 -6.81049079e-02 -2.31604815e-01
 -9.78243649e-02  3.55613023e-01  4.44283813e-01 -5.12226522e-01
  7.54425526e-01  9.24253929e-03 -9.50711250e-01 -2.17395142e-01
  7.06954241e-01 -1.86383590e-01 -7.77618706e-01 -1.21590279e-01
 -2.73698904e-02  3.18949252e-01  5.90362966e-01  2.63997674e-01
  5.85936867e-02 -3.37639421e-01  7.05101341e-02  6.46060348e-01
  3.00374478e-01 -4.63547260e-01 -7.25503266e-01 -9.85212773e-02
  6.93088353e-01 -1.72207654e-01 -7.49896049e-01 -2.45325938e-01
 -9.67106447e-02 -1.00802517e+00 -1.04370527e-02 -2.70784676e-01
 -3.08410496e-01 -6.35525942e-01  6.56004131e-01 -5.40074468e-01
 -1.96489301e-02  3.10311079e-01  3.20355028e-01  2.57710308e-01
 -5.10150671e-01 -4.51673865e-02  1.42784029e-01  3.52165103e-01
 -8.87347102e-01  4.46180642e-01  3.06603134e-01  2.92518139e-01
 -8.21082830e-01 -1.07312918e+00 -2.86245108e-01 -4.16890136e-04
  2.64634043e-01 -2.52310038e-01  1.10744853e-02 -4.75431383e-01
 -6.43032789e-01 -3.46112311e-01  3.02109987e-01  5.99824965e-01
 -3.14510077e-01 -9.40916002e-01  4.19199318e-01  5.68456411e-01]"
cs.CY;cs;Computers and Society;;;;;
cs.DB;cs;Databases;http://www.wikidata.org/wiki/Q8513;http://dbpedia.org/resource/Database;https://cso.kmi.open.ac.uk/topics/database;7.0;"[ 0.14100783 -0.79805964  0.9080841   0.7633327   0.50565356  0.06880121
  0.30739945 -0.343333    0.65346664 -0.08046539 -0.00482538 -0.61640644
 -0.12530525  0.27037627 -0.1686528  -0.5537001   0.0348335  -0.76986694
 -0.4026495   0.46316814 -0.2421418  -0.81210417  0.3014856  -0.2673106
  0.69559234 -1.1922524   1.0070806  -1.0352037  -0.253031    0.36348227
  0.58559835  1.0222083  -0.31448367  1.261821   -0.03888781  1.290306
  0.09940687 -0.15766646  1.3075782   0.21976581 -0.06949902  0.39672983
  0.7254885   0.10528822 -0.32950228  0.01658991  0.5803031   0.07384527
  0.7389886   0.7139482  -0.1711936   0.7141379   0.6863774  -0.14950366
  0.6367588   0.04401281  0.37238356  0.11912341  0.59594166  0.2806899
 -0.39516562  0.06284413 -0.24260557  0.74719626 -0.106587   -0.94304544
 -0.16858207  0.6834565   0.78554136  0.1688315   0.15771686  0.64424133
 -0.9823093   1.0084475   0.11653194  0.28834236  0.0279582   1.2110204
 -0.13612686 -0.4025734   0.5273837   0.16583942  0.09360691  0.05218425
  0.40544003 -0.1746926  -0.7971395   0.6983737   0.5222053   0.24732016
 -0.10364557  0.23224042 -0.28349718  0.2198353  -0.41205648  0.69870555
 -0.6649908   0.5424578  -0.7964564  -0.5147844   0.884019    0.3914526
  0.11547887  0.5228103   0.48649886 -0.3518912   0.3985322   0.6891308
 -1.3865155  -0.5777795   0.07269495 -0.37237853  0.01285593 -0.03520352
  0.17514071 -0.21968302  0.17566144  1.0523626   0.29240826 -0.08646271
  0.49956092 -0.572205    0.11292488  0.43569818  0.11113431 -0.24739309
 -1.2436578   0.20216864  0.39838123  0.25048357 -0.20958047 -0.4208893
 -0.25218076  1.4925579  -0.53147703 -0.0915914   0.18173333 -0.94685024
  0.12309325  0.7340543   0.9002357   0.32174546 -0.46426478 -0.1370621
  0.7316132   0.19738021 -0.44617218  0.6725584  -0.01757086  0.7414599
 -0.09711362  0.34775025  0.1857699  -1.0383334  -0.07447065  0.44897965
  0.26362735 -0.99753994 -1.0374379   0.27656096  0.7323385  -0.14211217
 -1.0178478   0.1375969  -0.19968154  0.13505076  0.05191027  0.66736484
  0.87505794 -1.2573377   0.54016817 -0.5045827  -0.43363002  0.08673293
 -0.08999927 -0.00806586  0.5331303   1.0497713   0.11513181  0.21549109
 -0.53320485 -0.4924817   0.02947379  0.5339565  -0.034281   -0.5085311
  0.09012491 -0.41315088  0.04162167 -0.58385015 -0.23882584 -0.18355457
  0.49428874 -0.26888838  0.20880832 -0.5214025   0.09701953 -1.2557588
  0.11945709 -0.1644551 ]"
